course_name,description,duration_weeks
AI Integrations for Developers,"""AI Integrations for Developers"" е практически курс, който ще научи курсистите да вграждат AI функционалности директно в приложенията си: интеграции с OpenAI, Anthropic (Claude) и OpenRouter, embeddings, векторни бази и RAG за семантично търсене, мултимодални услуги (изображения, реч, аудио, видео) и fine-tuning на модели. Акцентът е върху надеждност, цена и сигурност: стрийминг и структурирани изходи, retry/timeout/rate limits, телеметрия, метрики, защита на данни и фолбек стратегии за недетерминистични отговори. Всяка тема е с упражнение, а финалът включва Workshop: Real-Life Project и Workshop: Local AI (работа с локални модели като Ollama/vLLM). Резултат: уверени, производствени AI интеграции.",7
AI Tools for Developers,"""AI Tools for Developers"" е практически ориентиран курс, който ще трансформира начина, по който участниците пишат код. В съвременния свят на разработка на софтуер, AI инструментите вече не са просто любопитна новост - те се превръщат в необходимост за конкурентоспособните разработчици. Този курс е създаден за програмисти, които искат да повишат своята продуктивност в пъти, като внедрят най-модерните AI асистенти в ежедневната си работа. Това обучение се фокусира върху практическото прилагане на тези инструменти, следвайки философията ""learning by doing"".",8
AI-Assisted Development,"""AI-Assisted Development"" е практически ориентиран курс, който променя начина, по който разработчиците пишат и поддържат код. В съвременната разработка AI асистентите вече са необходимост за екипи, които търсят по-висока скорост, качество и последователност в целия кодов цикъл. Курсът е създаден за програмисти, които искат да умножат продуктивността си, като внедрят GitHub Copilot, Cursor и Claude Code директно в ежедневната работа. По време на обучението курсистите ще усвоят ефективни prompt техники, автодопълване и рефакториране, многофайлови промени и агентни потоци, генериране на тестове, документация и безопасни миграции, както и мащабни редакции и код ревю с голям контекст.",6
Algorithms Advanced with C#,"Курсът по алгоритми ще запознае участниците с най-разпространените техники на програмиране. Заедно с това те ще решават множество алгоритмични задачи и ще извършват анализи на различни подходи - техните свойства, приложения, предимства и недостатъци. Аудиторията ще развие алгоритмичното си мислене и ще придобие умения за работа с алгоритми от по-високо ниво в теория на графите: топологично сортиране, минимално покриващо дърво, намиране на най-кратък път в граф с негативни тегла, най-дълъг път в директен ацикличен граф, силно свързани компоненти и максимален поток. Също така, курсистите ще надградят уменията си за прилагане на динамично програмиране в по-сложни оптимизационни задачи. В допълнение ще придобият задълбочени знания в амортизирания анализ, класификацията на проблеми (P, NP, NP-completeness) и редуцирането на проблеми.",6
Algorithms Advanced with Java,"Курсът по алгоритми ще запознае участниците с най-разпространените техники на програмиране. Заедно с това те ще решават множество алгоритмични задачи и ще извършват анализи на различни подходи - техните свойства, приложения, предимства и недостатъци. Аудиторията ще развие алгоритмичното си мислене и ще придобие умения за работа с алгоритми от по-високо ниво в теория на графите: топологично сортиране, минимално покриващо дърво, намиране на най-кратък път в граф с негативни тегла, най-дълъг път в директен ацикличен граф, силно свързани компоненти и максимален поток. Също така, курсистите ще надградят уменията си за прилагане на динамично програмиране в по-сложни оптимизационни задачи. В допълнение ще придобият задълбочени знания в амортизирания анализ, класификацията на проблеми (P, NP, NP-completeness) и редуцирането на проблеми.",6
Algorithms Fundamentals with C#,"Курсът по алгоритми ще запознае участниците с най-разпространените техники на програмиране. Заедно с това ще се решават множество алгоритмични задачи и ще се извършват анализи на различни подходи - техните свойства, приложения, предимства и недостатъци. Участниците в обучението ще развият уменията си за алгоритмично мислене и ще придобият умения за работа с основните класове алгоритми използвани в практиката: рекурсия и връщане (backtracking), рекурсията с използване на променливи, комбинаторни алгоритми, търсене, сортиране и алчни алгоритми, както и теория на графите - реализиране в компютърната памет, обхождане и намиране на най-кратък път. Също така, аудиторията ще придобие умения за прилагане на динамично оптимиране в решаването на оптимизационни задачи.",6
Algorithms Fundamentals with Java,"Курсът по алгоритми ще запознае участниците с най-разпространените техники на програмиране. Заедно с това ще се решават множество алгоритмични задачи и се извършва анализ на различни подходи - техните свойства, приложения, предимства и недостатъци. Ще развият уменията си за алгоритмично мислене и ще придобият умения за работа с основните класове алгоритми използвани в практиката: рекурсия и връщане (backtracking), рекурсията с използване на променливи, комбинаторни алгоритми, търсене, сортиране и алчни алгоритми, както и теория на графите - реализиране в компютърната памет, обхождане и намиране на най-кратък път, също така, ще придобият умения за прилагане на динамично оптимиране в решаването на оптимизационни задачи.",6
Algorithms with Python,"Курсът по алгоритми ще запознае участниците с най-разпространените техники на програмиране. Заедно с това ще се решават множество алгоритмични задачи и ще се извършват анализи на различни подходи - техните свойства, приложения, предимства и недостатъци. Участниците в обучението ще развият уменията си за алгоритмично мислене и ще придобият умения за работа с основните класове алгоритми използвани в практиката: recursion и backtracking, рекурсията с използване на променливи, търсене и сортиране, както и теория на графите - реализиране в компютърната памет, minimum spanning tree, обхождане и намиране на най-кратък път. Курсистите ще се запознаят с техниката на динамичното програмиране и ще решават известни проблеми като редицата на Фибоначи, намиране на най-дългата обща поредица и на най-дългата поредица от нарастващи елементи.",6
Android Development with Kotlin,"Kotlin е бърз и лесен език за програмиране за Android. Използвайки Kotlin и Android Studio, курсистите ще могат да създават Android приложения за всички видове Android устройства (телефони, таблети и часовници). В курсът ще бъдат разгледани основни концепции заложени в Kotlin, както и тяхната употреба при работа с Android. Освен тези особености на езика, ще се обърне внимание на основните предимства, както и недостатъци на езика и на това, как да се справят участниците с тях. По време на курса ще се наблегне на работата с activities, UI, local storage и базова обработка на грешки.",8
Angular,"Курсът ""Angular"" ще даде на курсистите знания и практически умения за изграждане на клиентски приложения (Single Page Applications) с технологията Angular, работна рамка произведение на Google и една от най-популярните в момента. Ще научат какво е TypeScript, основен синтаксис и концепции, както и какво повече от JavaScript предлага той като удобства за разработка в браузъра и на мобилните платформи. Ще изучават какво е Single Page Applications (SPA), архитектурни шаблони за SPA приложения, компоненти, директиви и реализацията им в Angular. Също така ще се изучават изгледи и шаблони за визуализация на данни (templates), модели, компоненти, свързване на данни (data binding), работа с много изгледи, обзървабали (observables), рутиране (routing), извличане на данни от REST услуга и dependency injection (DI).",9
